Day of Simulation[],Month[],Day of Month[],DST Indicator[1=yes 0=no],Hour[],DayType,Power Cook IT Light Other White
29,1,29,1,20,Tuesday,896.448
29,1,29,1,21,Tuesday,854.855
29,1,29,1,22,Tuesday,709.289
29,1,29,1,23,Tuesday,563.353
29,1,29,1,24,Tuesday,478.195
30,1,30,1,1,Wednesday,417.15
30,1,30,1,2,Wednesday,383.285
30,1,30,1,3,Wednesday,371.115
30,1,30,1,4,Wednesday,370.019
30,1,30,1,5,Wednesday,401.484
30,1,30,1,6,Wednesday,475.637
30,1,30,1,7,Wednesday,588.172
30,1,30,1,8,Wednesday,622.447
30,1,30,1,9,Wednesday,614.693
30,1,30,1,10,Wednesday,601.794
30,1,30,1,11,Wednesday,644.683
30,1,30,1,12,Wednesday,671.489
30,1,30,1,13,Wednesday,632.589
